縣市,鄉鎮,村里,開票所數,蔡蘇得票,馬吳得票,宋林得票,無效票,選舉人數,藍綠比例
臺南市,將軍區,仁和里,1,377,98,11,0,2049,-0.58736842105263
臺南市,將軍區,鯤溟里,1,477,170,8,21,3153,-0.47449768160742
臺南市,善化區,牛庄里,1,688,361,26,24,4305,-0.3117254528122
臺南市,善化區,溪美里,2,821,474,29,15,5265,-0.26795366795367
臺南市,善化區,什乃里,1,567,251,10,30,3387,-0.38630806845966
臺南市,善化區,東昌里,1,534,190,17,33,3051,-0.47513812154696
臺南市,善化區,嘉北里,1,771,311,21,27,4299,-0.42513863216266
臺南市,善化區,北關里,1,195,137,6,6,1446,-0.17469879518072
臺南市,善化區,文正里,1,681,354,24,39,4290,-0.31594202898551
臺南市,善化區,嘉南里,1,540,193,11,15,3057,-0.47339699863574
臺南市,善化區,坐駕里,2,1357,1084,51,57,9939,-0.11183941007784
臺南市,善化區,文昌里,2,977,694,46,51,7176,-0.16935966487133
臺南市,善化區,南關里,1,778,369,28,33,4692,-0.35658238884045
臺南市,善化區,胡厝里,2,799,527,39,57,5637,-0.20512820512821
臺南市,善化區,東隆里,1,463,172,9,9,2634,-0.45826771653543
臺南市,善化區,六德里,1,551,216,14,24,3210,-0.4367666232073
臺南市,善化區,小新里,2,1575,945,73,54,10677,-0.25
臺南市,善化區,東關里,1,427,315,16,6,3003,-0.15094339622642
臺南市,善化區,西關里,1,292,191,10,12,1968,-0.20910973084886
臺南市,善化區,六分里,1,383,151,14,12,2181,-0.43445692883895
臺南市,善化區,田寮里,2,870,386,30,21,5034,-0.38535031847134
臺南市,善化區,胡家里,1,751,193,25,18,3888,-0.59110169491525
臺南市,安定區,中沙里,1,345,183,3,9,2073,-0.30681818181818
臺南市,安定區,港南里,2,1056,578,35,57,6759,-0.29253365973072
臺南市,安定區,港口里,2,1189,693,36,36,7671,-0.26354941551541
臺南市,安定區,中榮里,1,672,334,20,15,4197,-0.33598409542744
臺南市,安定區,大同里,1,289,198,9,6,1956,-0.18685831622177
臺南市,安定區,保西里,1,339,227,7,15,2337,-0.19787985865724
臺南市,安定區,六嘉里,1,828,299,15,39,4458,-0.46938775510204
臺南市,安定區,蘇厝里,2,942,451,38,54,5787,-0.35247666905958
臺南市,安定區,海寮里,2,1101,672,41,45,7338,-0.2419627749577
臺南市,安定區,南安里,1,267,156,9,15,1689,-0.26241134751773
臺南市,安定區,港尾里,2,753,416,32,15,4656,-0.28828058169376
臺南市,安定區,安定里,1,674,360,18,45,4269,-0.3036750483559
臺南市,安定區,安加里,1,633,269,19,30,3711,-0.40354767184035
臺南市,安定區,管寮里,1,496,177,13,21,2784,-0.4739970282318
臺南市,安定區,蘇林里,2,1046,509,23,33,6228,-0.34533762057878
臺南市,安定區,新吉里,2,1048,532,26,36,6540,-0.32658227848101
臺南市,山上區,平陽里,1,136,128,5,9,1113,-0.03030303030303
臺南市,山上區,豐德里,1,190,82,8,0,1185,-0.39705882352941
臺南市,山上區,新莊里,1,412,185,10,24,2502,-0.38023450586265
臺南市,山上區,山上里,1,361,267,13,33,2790,-0.14968152866242
臺南市,山上區,玉里,1,251,135,8,9,1650,-0.30051813471503
臺南市,山上區,南洲里,2,738,425,25,42,4704,-0.26913155631986
臺南市,山上區,明和里,2,805,430,20,27,5259,-0.30364372469636
臺南市,仁德區,成功里,4,1338,1805,86,90,12705,0.14858415526567
臺南市,仁德區,保安里,2,1116,731,40,45,7485,-0.20844612885761
臺南市,仁德區,三甲里,1,373,220,10,12,2205,-0.25801011804384
臺南市,仁德區,仁德里,5,2284,1935,117,81,17568,-0.082721023939322
臺南市,仁德區,二行里,2,823,640,59,48,6090,-0.12508544087491
臺南市,仁德區,一甲里,2,1107,763,53,33,7497,-0.18395721925134
臺南市,仁德區,仁愛里,2,359,1101,56,54,6027,0.50821917808219
臺南市,仁德區,新田里,3,1310,910,55,42,8775,-0.18018018018018
臺南市,仁德區,後壁里,6,3495,2199,160,177,23283,-0.22760800842993
臺南市,仁德區,中洲里,1,705,298,24,27,3882,-0.40578265204387
臺南市,仁德區,仁義里,7,3568,2718,147,147,25164,-0.13522112631244
臺南市,仁德區,中生里,1,640,383,26,57,4050,-0.25122189638319
臺南市,仁德區,太子里,4,2428,1219,83,114,14532,-0.33150534686043
臺南市,仁德區,仁和里,1,10,175,6,9,729,0.89189189189189
臺南市,仁德區,大甲里,2,944,592,42,93,6171,-0.22916666666667
臺南市,仁德區,上崙里,4,2137,1247,85,84,13740,-0.26300236406619
臺南市,仁德區,土庫里,2,1373,507,27,45,7236,-0.46063829787234
臺南市,西港區,永樂里,1,493,208,13,24,3015,-0.40656205420827
臺南市,西港區,後營里,1,737,241,16,51,4116,-0.50715746421268
臺南市,西港區,港東里,2,697,338,17,27,4389,-0.34685990338164
臺南市,西港區,新復里,2,470,273,17,30,3000,-0.26514131897712
臺南市,西港區,劉厝里,1,647,246,16,36,3732,-0.44904815229563
臺南市,西港區,營西里,1,621,273,25,39,3939,-0.38926174496644
臺南市,西港區,金砂里,1,426,170,10,21,2370,-0.42953020134228
臺南市,西港區,南海里,2,1183,440,29,48,6699,-0.45779420825632
臺南市,西港區,竹林里,1,622,236,11,21,3585,-0.44988344988345
臺南市,西港區,慶安里,3,1850,1036,60,66,12054,-0.28205128205128
臺南市,東區,東門里,2,766,611,30,18,5784,-0.11256354393609
臺南市,西港區,檨林里,2,821,323,26,78,4752,-0.43531468531469
臺南市,東區,東光里,3,1545,2033,82,57,14421,0.13638904415875
臺南市,東區,崇德里,3,1499,1723,83,45,12939,0.069522036002483
臺南市,東區,大同里,2,1132,940,71,51,8910,-0.092664092664093
臺南市,東區,路東里,1,425,619,31,6,4383,0.18582375478927
臺南市,東區,裕聖里,2,1104,1535,87,33,10221,0.16331943918151
臺南市,東區,莊敬里,2,1286,1397,81,30,10977,0.041371598956392
臺南市,東區,崇信里,2,1331,1240,81,21,12855,-0.035394788020226
臺南市,東區,泉南里,3,1686,1577,67,78,13554,-0.033404842169782
臺南市,東區,裕農里,2,1078,1088,61,33,8766,0.0046168051708217
臺南市,東區,大學里,1,426,529,35,12,3909,0.10785340314136
臺南市,東區,自強里,3,1623,1731,104,60,14067,0.032200357781753
臺南市,東區,新東里,2,900,938,35,15,7335,0.020674646354733
臺南市,東區,崇誨里,2,765,1159,58,15,7818,0.2047817047817
臺南市,東區,大德里,1,589,556,28,30,4776,-0.02882096069869
臺南市,東區,仁和里,2,1459,1429,81,39,12390,-0.010387811634349
臺南市,東區,富裕里,1,873,665,44,21,6507,-0.13524057217165
臺南市,東區,中西里,2,1133,1161,61,21,9393,0.012205754141238
臺南市,東區,龍山里,2,1343,1524,88,42,11781,0.063132193930938
臺南市,東區,忠孝里,3,1240,1801,99,45,12873,0.18447878987175
臺南市,東區,東智里,2,803,860,47,33,6780,0.034275405892965
臺南市,東區,崇成里,2,951,1054,48,33,8061,0.051371571072319
臺南市,東區,復興里,2,1273,1153,51,36,9717,-0.049464138499588
臺南市,東區,小東里,3,1336,1767,84,54,12708,0.13889784079923
臺南市,東區,東安里,1,606,450,38,30,4560,-0.14772727272727
臺南市,東區,衛國里,1,554,543,34,24,4728,-0.010027347310848
臺南市,東區,關聖里,2,1158,1577,76,33,10812,0.15319926873857
臺南市,東區,德高里,2,1086,886,45,30,8214,-0.10141987829615
臺南市,東區,文聖里,2,1143,1535,61,45,10425,0.14637789395071
臺南市,東區,後甲里,2,1051,1155,54,48,9009,0.047144152311877
臺南市,東區,富強里,2,1698,1367,82,60,12369,-0.10799347471452
臺南市,東區,東聖里,1,809,780,46,21,6633,-0.018250471994965
臺南市,東區,和平里,2,1428,1294,79,48,11412,-0.049228508449669
臺南市,東區,大智里,3,1833,2228,112,60,17049,0.097266683082984
臺南市,東區,崇學里,2,1093,981,57,27,8373,-0.054001928640309
臺南市,東區,南聖里,1,765,915,52,21,6615,0.089285714285714
臺南市,東區,崇明里,2,1215,1609,73,24,11379,0.13951841359773
臺南市,東區,成大里,2,708,867,48,36,6609,0.10095238095238
臺南市,東區,德光里,2,1272,1532,78,42,11295,0.092724679029957
臺南市,東區,大福里,1,765,704,46,18,6174,-0.041524846834581
臺南市,東區,崇善里,2,1707,1647,83,48,13551,-0.01788908765653
臺南市,東區,東明里,2,1102,1251,65,39,9636,0.063323416914577
臺南市,東區,圍下里,2,769,741,35,42,6072,-0.018543046357616
臺南市,東區,崇文里,4,1852,2316,106,57,16755,0.11132437619962
臺南市,佳里區,子龍里,2,796,284,17,30,4518,-0.47407407407407
臺南市,佳里區,民安里,1,705,254,19,12,3963,-0.47028154327424
臺南市,佳里區,通興里,1,560,205,9,27,3084,-0.4640522875817
臺南市,佳里區,安西里,7,4456,2933,197,120,31023,-0.20611720124509
臺南市,佳里區,三協里,1,511,178,18,12,2817,-0.4833091436865
臺南市,佳里區,龍安里,1,532,208,13,12,3069,-0.43783783783784
臺南市,佳里區,興化里,1,691,265,14,48,3945,-0.44560669456067
臺南市,佳里區,頂里,1,406,241,14,18,2694,-0.25502318392581
臺南市,佳里區,建南里,4,3189,1947,142,78,21951,-0.24182242990654
臺南市,佳里區,漳洲里,1,387,127,10,15,2181,-0.50583657587549
臺南市,佳里區,蚶寮里,1,466,146,9,12,2553,-0.52287581699346
臺南市,佳里區,忠仁里,2,1301,751,50,33,8562,-0.26803118908382
臺南市,佳里區,禮化里,1,457,200,25,6,2757,-0.39117199391172
臺南市,佳里區,營頂里,1,320,155,7,15,2004,-0.34736842105263
臺南市,佳里區,嘉福里,1,506,178,13,27,2835,-0.47953216374269
臺南市,佳里區,溪州里,1,163,109,3,6,1182,-0.19852941176471
臺南市,佳里區,佳化里,2,1001,469,28,33,6258,-0.36190476190476
臺南市,佳里區,海澄里,1,662,339,25,18,4263,-0.32267732267732
臺南市,佳里區,東寧里,2,771,509,30,18,5316,-0.2046875
